index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
19,18,C,2008_myanmar_military,0.5879682665395486,0.0,0.55,0.6571428571428571,0.0,0.0,0.19722761940691672,0.35,0.36388780954269145,0.567,0.01831578947368421,0.5300000000000001,0.6300000000000001,4,0.848777985037881,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
20,19,C,2008_myanmar_military,0.5906994224518017,0.0,0.55,0.6842105263157895,0.0,0.0,0.1978306644948714,0.35,0.3689565066838846,0.5753,0.018947368421052633,0.5400000000000001,0.6400000000000001,1,0.8371534091097066,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
21,20,C,2008_myanmar_military,0.593327921931447,0.0,0.55,0.7692307692307693,0.0,0.0,0.20600914103928658,0.35,0.3728145753138805,0.5801,0.019473684210526317,0.5500000000000002,0.6500000000000001,0,0.8694617397302001,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
22,21,C,2008_myanmar_military,0.593327921931447,0.0,0.55,0.810126582278481,0.0,0.0,0.20822753170198766,0.35,0.3704620220225146,0.5852,0.019894736842105264,0.5600000000000002,0.6600000000000001,0,0.8744617397302001,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
23,22,C,2008_myanmar_military,0.5933279219314469,0.0,0.55,0.8375,0.0,0.0,0.21017161255946326,0.35,0.37968068354441403,0.5814,0.02031578947368421,0.5700000000000002,0.6700000000000002,2,0.8686145627301183,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
24,23,C,2008_myanmar_military,0.5933279219314469,0.0,0.55,0.8641975308641975,0.0,0.0,0.2164932291448445,0.35,0.3713722642394043,0.5723,0.020842105263157894,0.5800000000000002,0.6800000000000002,1,0.8627673857300364,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
25,24,C,2008_myanmar_military,0.5933279219314469,0.0,0.55,0.9382716049382716,0.0,0.0,0.2192631007073502,0.35,0.37983041215713576,0.575,0.021473684210526315,0.5900000000000002,0.6900000000000002,1,0.8677673857300364,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
26,25,C,2008_myanmar_military,0.5951477710899854,0.0,0.55,0.926829268292683,0.0,0.0,0.2243497513404716,0.35,0.365269512371597,0.5669,0.021789473684210525,0.6000000000000002,0.7000000000000002,1,0.8554242814948153,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
27,26,C,2008_myanmar_military,0.5951477710899852,0.0,0.55,0.9512195121951219,0.0,0.0,0.22563766879940025,0.35,0.3763862795732865,0.5584,0.022105263157894735,0.6100000000000002,0.7100000000000002,3,0.9145879158011726,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
28,27,C,2008_myanmar_military,0.5961176041562303,0.0,0.55,0.9512195121951219,0.0,0.0,0.23073904637164294,0.35,0.373206736220014,0.5497,0.022421052631578946,0.6200000000000002,0.7200000000000002,3,0.991094654342751,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
29,28,C,2008_myanmar_military,0.596177585998581,0.0,0.55,0.9878048780487805,0.0,0.0,0.2339748872147957,0.35,0.3739918736346005,0.5473,0.02273684210526316,0.6300000000000002,0.7300000000000002,3,1.0,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
30,29,C,2008_myanmar_military,0.5961775859985807,0.0,0.55,0.9759036144578314,0.0,0.0,0.23748043865671484,0.35,0.37944587896483073,0.5347,0.023157894736842106,0.6400000000000002,0.7400000000000002,2,0.9750153696941412,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
31,30,C,2008_myanmar_military,0.5961775859985812,0.0,0.55,0.9759036144578314,0.0,0.0,0.23980133010742782,0.35,0.37482658120760315,0.539,0.023473684210526317,0.6400000000000002,0.7400000000000002,2,0.9750153696941412,13,1367,50,False,27,29,0.6400000000000002,0.6530000000000002
