index,year,scenario,constitution,corruption_index,trust_index,grievance_index,iig_effectiveness,coup_probability,north_star_progress,gini_coefficient,ethnic_harmony,stability_index,employment_rate,brain_drain_rate,vpn_floor,social_media_openness,active_shocks,china_influence,run_id,seed,final_year,simulation_failed,total_shocks_fired,total_shutdowns,final_vpn_floor,mean_sm_openness
32,31,A,mfu_v7,0.19938552397553858,0.693723053695779,0.55,0.9655172413793104,0.0,0.0,0.15442750069128655,0.35,0.8508842539088994,0.6279,0.02305263157894737,0.35,1.0,0,0.7809425408894161,14,1465,50,False,22,0,0.35,1.0
33,32,A,mfu_v7,0.1809836181255091,0.7006971222772289,0.55,0.9655172413793104,0.0,0.0,0.1544491275581986,0.35,0.8347985836111402,0.624,0.02336842105263158,0.35,1.0,0,0.7859425408894161,14,1465,50,False,22,0,0.35,1.0
34,33,A,mfu_v7,0.16337029511728107,0.711382117540682,0.55,0.9827586206896551,0.0,0.0,0.15445394341736318,0.35,0.8420202203072118,0.621,0.023473684210526317,0.35,1.0,0,0.7909425408894161,14,1465,50,False,22,0,0.35,1.0
35,34,A,mfu_v7,0.14733198641828898,0.7190673844163816,0.55,1.0,0.0,0.0,0.15446272067554492,0.35,0.844833525828476,0.6179,0.023578947368421053,0.35,1.0,0,0.7959425408894161,14,1465,50,False,22,0,0.35,1.0
36,35,A,mfu_v7,0.13255198804511795,0.7230939921932021,0.55,1.0,0.0,0.0,0.1544732855915671,0.35,0.8454309911286617,0.6179,0.023578947368421053,0.35,1.0,0,0.8009425408894161,14,1465,50,False,22,0,0.35,1.0
37,36,A,mfu_v7,0.11957660725965402,0.7407967255498915,0.55,1.0,0.0,0.0,0.15448222288137514,0.35,0.859016865879914,0.6148,0.02368421052631579,0.35,1.0,0,0.8059425408894161,14,1465,50,False,22,0,0.35,1.0
38,37,A,mfu_v7,0.10800918073199084,0.735357976206969,0.55,1.0,0.0,0.0,0.15449121646242106,0.35,0.8479554526656661,0.6148,0.02368421052631579,0.35,1.0,0,0.8109425408894161,14,1465,50,False,22,0,0.35,1.0
39,38,A,mfu_v7,0.09771059538331717,0.7421623902995034,0.55,1.0,0.0,0.0,0.1545002572443939,0.35,0.8567039207776013,0.6148,0.02368421052631579,0.35,1.0,0,0.8159425408894161,14,1465,50,False,22,0,0.35,1.0
40,39,A,mfu_v7,0.08810576024097622,0.7413458379128837,0.55,1.0,0.0,0.0,0.15450933276201917,0.35,0.853070342091448,0.6148,0.02368421052631579,0.35,1.0,2,0.8595161116424185,14,1465,50,False,22,0,0.35,1.0
41,40,A,mfu_v7,0.07918112960049462,0.7528810796988499,0.55,1.0,0.0,0.0,0.15451843724822165,0.35,0.8640647254333029,0.6148,0.02368421052631579,0.35,1.0,2,0.9030896823954209,14,1465,50,False,22,0,0.35,1.0
42,41,A,mfu_v7,0.07095978821597061,0.7408057265374358,0.55,1.0,0.0,0.0,0.1545275658480658,0.35,0.8480553867370471,0.6148,0.02368421052631579,0.35,1.0,2,0.9466632531484233,14,1465,50,False,22,0,0.35,1.0
43,42,A,mfu_v7,0.06306505137386535,0.7365490656161462,0.55,1.0,0.0,0.0,0.15453671683557868,0.35,0.8490832071896159,0.6148,0.02368421052631579,0.35,1.0,2,0.932611739347888,14,1465,50,False,22,0,0.35,1.0
44,43,A,mfu_v7,0.055170314531760085,0.751412970425029,0.55,1.0,0.0,0.0,0.15454589225953494,0.35,0.8640189333832196,0.6148,0.02368421052631579,0.35,1.0,1,0.8799866547943503,14,1465,50,False,22,0,0.35,1.0
45,44,A,mfu_v7,0.047636113330358346,0.7585017734343747,0.55,1.0,0.0,0.0,0.15455509265036,0.35,0.8654832371841437,0.6148,0.02368421052631579,0.35,1.0,2,0.8597110302112586,14,1465,50,False,22,0,0.35,1.0
46,45,A,mfu_v7,0.04041531535777185,0.7488921480115112,0.55,1.0,0.0,0.0,0.15456431787775832,0.35,0.8533767957684981,0.6148,0.02368421052631579,0.35,1.0,2,0.8322626924977143,14,1465,50,False,22,0,0.35,1.0
47,46,A,mfu_v7,0.03369463704806572,0.7451259464310548,0.55,1.0,0.0,0.0,0.15457357404803923,0.35,0.8538349469446673,0.6148,0.02368421052631579,0.35,1.0,1,0.8048143547841701,14,1465,50,False,22,0,0.35,1.0
48,47,A,mfu_v7,0.0275053417890897,0.7547004608834782,0.55,1.0,0.0,0.0,0.15458286480175085,0.35,0.8645125403382612,0.6148,0.02368421052631579,0.35,1.0,0,0.7773660170706258,14,1465,50,False,22,0,0.35,1.0
49,48,A,mfu_v7,0.02158428915751075,0.7604886793305209,0.55,1.0,0.0,0.0,0.15459218813534376,0.35,0.865990051792934,0.6148,0.02368421052631579,0.35,1.0,1,0.7823660170706258,14,1465,50,False,22,0,0.35,1.0
50,49,A,mfu_v7,0.01626507862974343,0.7616443645974662,0.55,1.0,0.0,0.0,0.15460154688325417,0.35,0.8646569010487741,0.6148,0.02368421052631579,0.35,1.0,2,0.7547422367041244,14,1465,50,False,22,0,0.35,1.0
